RefEx_Sample_ID	BioSample_ID	Project_Sample_ID
RES00002589	SAMN02792759	GTEX-11DXY-2326-SM-5GICW
RES00002560	SAMN02787505	GTEX-11DXY-2626-SM-5GIE7
RES00002562	SAMN02792470	GTEX-11DXY-2726-SM-5GID2
RES00002574	SAMN02791947	GTEX-11DXY-3026-SM-5N9CB
RES00002576	SAMN02790122	GTEX-11DXY-3126-SM-5N9BT
RES00002575	SAMN02788694	GTEX-11DXY-3226-SM-5GIDE
RES00002537	SAMN02787786	GTEX-11DXZ-0006-SM-5LZZH
RES00002636	SAMN02793034	GTEX-11DXZ-0126-SM-5EGGY
RES00002538	SAMN02791894	GTEX-11DXZ-0226-SM-5EGGZ
RES00002623	SAMN02790347	GTEX-11DXZ-0326-SM-5EGH1
RES00002621	SAMN02790689	GTEX-11DXZ-0426-SM-5987Y
RES00002628	SAMN02791651	GTEX-11DXZ-0526-SM-5GU7J
RES00002622	SAMN02790909	GTEX-11DXZ-0626-SM-5GU77
RES00002540	SAMN02790159	GTEX-11DXZ-0726-SM-5N9C4
RES00002539	SAMN02793307	GTEX-11DXZ-0926-SM-5N9CG
RES00002545	SAMN02790484	GTEX-11DXZ-1026-SM-5N9D5
RES00002544	SAMN02788270	GTEX-11DXZ-1226-SM-5H11L
RES00002550	SAMN02792710	GTEX-11DXZ-1326-SM-5H11X
RES00002547	SAMN02791057	GTEX-11DXZ-1426-SM-5H12A
RES00002549	SAMN02789844	GTEX-11DXZ-1626-SM-5GIDI
RES00002551	SAMN02789793	GTEX-11DXZ-1726-SM-5H12M
RES00002552	SAMN02789743	GTEX-11DXZ-1826-SM-5H12Y
RES00002627	SAMN02788771	GTEX-11DXZ-1926-SM-5GZZL
RES00002548	SAMN02792166	GTEX-11DXZ-2026-SM-5987S
RES00002553	SAMN02787476	GTEX-11DXZ-2126-SM-59881
RES00002555	SAMN02789205	GTEX-11DXZ-2326-SM-5EGGV
RES00002556	SAMN02788821	GTEX-11DXZ-2426-SM-5N9DT
RES00002557	SAMN02790393	GTEX-11DXZ-2526-SM-5N9BG
