RefEx_Sample_ID	BioSample_ID	Project_Sample_ID
RES00001805	SAMD00021545	12827-137A1
RES00001806	SAMD00021395	12632-134F4
RES00001806	SAMD00021395	12632-134F4
RES00001806	SAMD00021471	12730-135H3
RES00001806	SAMD00021546	12828-137A2
RES00001806	SAMD00021546	12828-137A2
RES00001807	SAMD00021396	12633-134F5
RES00001807	SAMD00021472	12731-135H4
RES00001807	SAMD00021547	12829-137A3
RES00001808	SAMD00021397	12634-134F6
RES00001808	SAMD00021473	12732-135H5
RES00001808	SAMD00021548	12830-137A4
RES00001809	SAMD00021398	12635-134F7
RES00001809	SAMD00021474	12733-135H6
RES00001809	SAMD00021549	12831-137A5
RES00001810	SAMD00021399	12636-134F8
RES00001810	SAMD00021475	12734-135H7
RES00001810	SAMD00021550	12832-137A6
RES00001811	SAMD00021400	12637-134F9
RES00001811	SAMD00021476	12735-135H8
RES00001811	SAMD00021551	12833-137A7
RES00001812	SAMD00021401	12638-134G1
RES00001812	SAMD00021477	12736-135H9
RES00001812	SAMD00021552	12834-137A8
RES00001813	SAMD00021402	12639-134G2
RES00001813	SAMD00021478	12737-135I1
RES00001813	SAMD00021553	12835-137A9
RES00001814	SAMD00021403	12640-134G3
RES00001814	SAMD00021479	12738-135I2
RES00001814	SAMD00021554	12836-137B1
RES00001815	SAMD00021390	12626-134E7
RES00001815	SAMD00005266	12724-135G6
RES00001815	SAMD00005756	12822-136I5
RES00001816	SAMD00021989	13364-143F7
RES00001816	SAMD00021990	13365-143F8
RES00001816	SAMD00005086	13366-143F9
RES00001817	SAMD00021953	13328-143B7
RES00001817	SAMD00021965	13340-143D1
RES00001817	SAMD00021977	13352-143E4
RES00001818	SAMD00021954	13329-143B8
RES00001818	SAMD00021966	13341-143D2
RES00001818	SAMD00021978	13353-143E5
RES00001819	SAMD00021955	13330-143B9
RES00001819	SAMD00021967	13342-143D3
RES00001819	SAMD00021979	13354-143E6
RES00001820	SAMD00021956	13331-143C1
RES00001820	SAMD00021968	13343-143D4
RES00001820	SAMD00021980	13355-143E7
RES00001821	SAMD00021957	13332-143C2
RES00001821	SAMD00021969	13344-143D5
RES00001821	SAMD00021981	13356-143E8
RES00001822	SAMD00021958	13333-143C3
RES00001822	SAMD00021970	13345-143D6
RES00001822	SAMD00021982	13357-143E9
RES00001823	SAMD00021959	13334-143C4
RES00001823	SAMD00021971	13346-143D7
RES00001823	SAMD00021983	13358-143F1
RES00001824	SAMD00021960	13335-143C5
RES00001824	SAMD00021972	13347-143D8
RES00001824	SAMD00021984	13359-143F2
RES00001825	SAMD00021961	13336-143C6
RES00001825	SAMD00021973	13348-143D9
RES00001825	SAMD00021985	13360-143F3
RES00001826	SAMD00021962	13337-143C7
RES00001826	SAMD00021974	13349-143E1
RES00001826	SAMD00021986	13361-143F4
RES00001827	SAMD00021963	13338-143C8
RES00001827	SAMD00021975	13350-143E2
RES00001827	SAMD00021987	13362-143F5
RES00001828	SAMD00021964	13339-143C9
RES00001828	SAMD00021976	13351-143E3
RES00001828	SAMD00021988	13363-143F6
RES00001829	SAMD00005918	11271-116H2
RES00001829	SAMD00004905	11348-117G7
RES00001829	SAMD00005852	11420-118F7
RES00001830	SAMD00005176	11504-119G1
RES00001830	SAMD00005367	11584-120F9
RES00001831	SAMD00005125	11898-125E8
